category,extra_name,main_name,price,subcategory,unit_price
Tørkepapir og vaskemidler,"Hvitt & Farget Tøy, 2 kg",Standardtøyvask,"kr 40,60",Klesvask,"kr 0,78 per vask"
Tørkepapir og vaskemidler,750 ml,Klar Tøyvask,"kr 65,80",Klesvask,"kr 3,13 per vask"
Tørkepapir og vaskemidler,750 ml,Klar Tøyvask Parfymefri,"kr 70,80",Klesvask,"kr 94,40 per l"
Tørkepapir og vaskemidler,1920 ml,Flytende Maskinvask Farget&Hvitt,"kr 114,30",Klesvask,"kr 2,38 per vask"
Tørkepapir og vaskemidler,760 ml,Flytende Maskinvask Farget&Hvitt,"kr 63,40",Klesvask,"kr 3,34 per vask"
Tørkepapir og vaskemidler,"Flytende, 595 ml",Omo Color,"kr 51,40",Klesvask,"kr 3,02 per vask"
Mathall,"Til 4 Personer, ca. 800 g",Hellstrøms Indrefilet av Angus,"kr 528,00",Kjøttdisken,"kr 660,00 per kg"
Mathall,380 g,Okse T-benstek,"kr 208,00",Kjøttdisken,"kr 547,37 per kg"
Mathall,"Til 1 Person, ca. 200 g",Hellstrøms Indrefilet av Angus,"kr 158,50",Kjøttdisken,"kr 792,50 per kg"
Mathall,ca. 400 g,Hellstrøms Indrefilet av Angus,"kr 274,50",Kjøttdisken,"kr 686,25 per kg"
Mathall,ca. 200 g,Hellstrøms Ytrefilet av Angus,"kr 137,30",Kjøttdisken,"kr 686,50 per kg"
Mathall,"Til  2 Personer, 400 g",Hellstrøms Ytrefilet av Angus,"kr 264,00",Kjøttdisken,"kr 660,00 per kg"
Mathall,500 g,Hellstrøms Økologisk Svinenakke uten Ben,"kr 147,90",Kjøttdisken,"kr 295,80 per kg"
Mathall,"Uten Ben, ca. 400 g",Frossen Villsvinakke,"kr 109,00",Kjøttdisken,"kr 272,50 per kg"
Hus og hjem,150 m,Plastfolie storpack,"kr 59,90",Poser og folie,"kr 0,40 per m"
Hus og hjem,50 m,Matpapir,"kr 25,90",Poser og folie,"kr 0,52 per m"
Hus og hjem,"12 x 8,5 cm, 1 stk",Mellomleggspapir,"kr 17,10",Poser og folie,"kr 17,10 per stk"
Hus og hjem,2 stk,Stekeposer Ekstra Store,"kr 14,10",Poser og folie,"kr 7,05 per stk"
Hus og hjem,5 stk,Stekepose Medium,"kr 16,20",Poser og folie,"kr 3,24 per stk"
Hus og hjem,1 stk,Stekefolie Nonstick,"kr 59,90",Poser og folie,"kr 59,90 per stk"
Hus og hjem,"2l, 50 stk",Fryseposer,"kr 14,60",Poser og folie,"kr 0,29 per stk"
Hus og hjem,"4l, 40 stk",Frysepose,"kr 16,30",Poser og folie,"kr 0,41 per stk"
"Shampo, såpe og hudpleie",500 ml,"Clear Handsoap, White Rose","kr 31,40",Håndsåpe,"kr 62,80 per l"
"Shampo, såpe og hudpleie",500 ml,Håndsåpe Med Pumpe,"kr 8,30",Håndsåpe,"kr 16,60 per l"
"Shampo, såpe og hudpleie",300 ml,Mild Håndsåpe,"kr 30,80",Håndsåpe,"kr 102,67 per l"
"Shampo, såpe og hudpleie",500 ml,Håndsåpe,"kr 44,30",Håndsåpe,"kr 88,60 per l"
"Shampo, såpe og hudpleie",2 stk,Såpestykke,"kr 30,10",Håndsåpe,"kr 15,05 per stk"
"Shampo, såpe og hudpleie",100 g,Kremsåpe Fast,"kr 17,40",Håndsåpe,"kr 174,00 per kg"
"Shampo, såpe og hudpleie","Assorterte Dufter, 300 ml",Håndsåpe Flytende,"kr 15,20",Håndsåpe,"kr 50,67 per l"
Brød og frokostblandinger,750 g,"Grovbrød, Lettstekt","kr 29,70",Langtidsholdbare brød,"kr 39,60 per kg"
Brød og frokostblandinger,670 g,"Frøloff, Lettstekt","kr 32,90",Langtidsholdbare brød,"kr 49,10 per kg"
Brød og frokostblandinger,"Glutenfri, 500 g",Fiberbrød,"kr 72,90",Langtidsholdbare brød,"kr 145,80 per kg"
Brød og frokostblandinger,500 g,Glutenfri Havrebrød,"kr 50,60",Langtidsholdbare brød,"kr 101,20 per kg"
Brød og frokostblandinger,500 g,Glutenfri Kornbrød,"kr 40,00",Langtidsholdbare brød,"kr 80,00 per kg"
Brød og frokostblandinger,600 g,Glutenfri Fiberbrød,"kr 54,00",Langtidsholdbare brød,"kr 90,00 per kg"
Brød og frokostblandinger,"Glutenfri, 500 g",Loff,"kr 38,50",Langtidsholdbare brød,"kr 77,00 per kg"
Brød og frokostblandinger,"Glutenfri, 400 g",Brød Toasty Fiber,"kr 52,40",Langtidsholdbare brød,"kr 131,00 per kg"
Brød og frokostblandinger,"Glutenfri, 450 g",Grovbrød Xl,"kr 51,10",Langtidsholdbare brød,"kr 113,56 per kg"
Drikkevarer,"0,65 l",Imsdal Vann,"kr 23,80",Vann og mineralvann,"kr 36,62 per l"
Drikkevarer,"0 kalorier, 0,65 l",Imsdal Sitron,"kr 30,40",Vann og mineralvann,"kr 46,77 per l"
Drikkevarer,"0 kalorier, 0,65 l",Imsdal Bringebær,"kr 30,40",Vann og mineralvann,"kr 46,77 per l"
Drikkevarer,"0 kalorier, 0,65 l",Imsdal Fersken,"kr 23,90",Vann og mineralvann,"kr 36,77 per l"
Drikkevarer,"0,6 l",Smartwater Stillvann,"kr 21,00",Vann og mineralvann,"kr 35,00 per l"
Drikkevarer,"0,7 l",Bonaqua Mango & Tea,"kr 23,60",Vann og mineralvann,"kr 33,71 per l"
Drikkevarer,"0,7 l",Bonaqua Sport Sitron,"kr 23,60",Vann og mineralvann,"kr 33,71 per l"
Brød og frokostblandinger,125 g,Fiberrik Solsikke,"kr 38,40",Knekkebrød,"kr 307,20 per kg"
Brød og frokostblandinger,200 g,Rugsprø Original,"kr 15,90",Knekkebrød,"kr 79,50 per kg"
Brød og frokostblandinger,180 g,Rugsprø Havre,"kr 17,60",Knekkebrød,"kr 97,78 per kg"
Brød og frokostblandinger,33 g,Sandwich Sourcream & Onion,"kr 12,80",Knekkebrød,"kr 387,88 per kg"
Brød og frokostblandinger,37 g,Sandwich Cream Cheese & Gressløk,"kr 11,40",Knekkebrød,"kr 308,11 per kg"
